Number of tokens,Most frequent tokens,"Most frequent tokens, no punctuation","Most frequent tokens, no stopwords",Most frequent bigrams,"Most frequent bigrams, no punctuation","Most frequent bigrams, no stopwords",Number of sents,Most frequent PoS,Sentence Word Ratio,Type Token Ratio,Target
1806,"[('the', 134), (',', 107), ('of', 106), ('to', 72), ('.', 49), ('and', 40), ('be', 34), ('that', 28), ('in', 27), ('a', 25), ('will', 25), ('it', 20), ('which', 18), ('not', 15), ('this', 14), ('by', 14), ('their', 14), ('i', 14), ('for', 13), ('is', 13)]","[('the', 133), ('of', 106), ('to', 72), ('and', 40), ('be', 34), ('that', 28), ('in', 27), ('a', 25), ('will', 25), ('it', 20), ('which', 18), ('not', 15), ('this', 14), ('by', 14), ('their', 14), ('i', 14), ('for', 13), ('is', 13), ('are', 12), ('an', 11)]","[('government', 9), ('constitution', 8), ('men', 8), ('new', 7), ('union', 7), ('shall', 7), ('people', 6), ('state', 6), ('good', 6), ('truth', 5), ('appearance', 5), ('liberty', 5), ('general', 4), ('subject', 4), ('political', 3), ('discussion', 3), ('interest', 3), ('certain', 3), ('ambition', 3), ('opposition', 3)]","[('of the', 31), (', and', 14), ('to the', 13), (', to', 9), ('in the', 8), ('will be', 8), (', the', 7), ('. i', 7), ('for the', 6), ('the people', 6), ('new constitution', 6), ('to be', 6), ('of their', 6), (', that', 6), ('those who', 6), ('. it', 5), (', in', 5), ('the new', 5), ('of a', 5), ('from the', 5)]","[('of the', 31), ('to the', 13), ('in the', 8), ('will be', 8), ('for the', 6), ('the people', 6), ('new constitution', 6), ('to be', 6), ('of their', 6), ('those who', 6), ('the new', 5), ('of a', 5), ('from the', 5), ('on the', 5), ('the union', 4), ('it is', 4), ('of this', 4), ('of men', 4), ('that we', 4), ('it will', 4)]","[('new constitution', 6), ('people state', 2), ('good men', 2), ('public good', 2), ('class men', 2), ('efficiency government', 2), ('rights people', 2), ('utility union', 2), ('1 general', 1), ('general introduction', 1), ('introduction independent', 1), ('independent journal', 1), ('journal saturday', 1), ('saturday october', 1), ('october 27', 1), ('27 1787', 1), ('1787 people', 1), ('state new', 1), ('new york', 1), ('york unequivocal', 1)]",57,"[('NOUN', 360), ('ADP', 259), ('DET', 194), ('PUNCT', 173), ('PRON', 167), ('VERB', 148), ('SPACE', 146), ('ADJ', 137), ('AUX', 136), ('ADV', 69), ('PART', 52), ('CCONJ', 50), ('SCONJ', 39), ('PROPN', 13), ('NUM', 8), ('INTJ', 1)]",0.03156146179401993,0.34828349944629017,Hamilton
1881,"[(',', 124), ('the', 108), ('and', 84), ('of', 83), ('to', 53), ('that', 44), ('.', 41), ('it', 38), ('in', 34), ('a', 30), ('people', 23), ('they', 22), ('their', 21), ('have', 17), ('as', 16), ('is', 16), ('be', 15), ('for', 14), ('this', 14), ('with', 13)]","[('the', 108), ('and', 84), ('of', 83), ('to', 53), ('that', 44), ('it', 38), ('in', 34), ('a', 29), ('people', 22), ('they', 22), ('their', 21), ('have', 17), ('as', 16), ('is', 16), ('be', 15), ('for', 14), ('this', 14), ('with', 13), ('which', 11), ('one', 10)]","[('people', 22), ('government', 9), ('union', 8), ('convention', 8), ('america', 7), ('congress', 7), ('country', 6), ('men', 6), ('nation', 4), ('confederacies', 4), ('number', 4), ('liberty', 4), ('recommended', 4), ('plan', 4), ('great', 4), ('new', 3), ('certain', 3), ('consideration', 3), ('general', 3), ('purposes', 3)]","[('of the', 25), (', and', 25), ('the people', 17), ('in the', 11), ('it is', 10), ('to the', 7), (', they', 7), ('that they', 6), (', that', 6), ('. it', 6), ('the same', 6), ('people of', 5), ('of america', 5), ('of their', 5), (', or', 5), ('that the', 5), ('; and', 5), ('. that', 5), ('convention ,', 5), ('they are', 4)]","[('of the', 25), ('the people', 17), ('in the', 11), ('it is', 10), ('to the', 7), ('that they', 6), ('the same', 6), ('people of', 5), ('of america', 5), ('of their', 5), ('that the', 5), ('they are', 4), ('the most', 4), ('as a', 4), ('it was', 4), ('we have', 4), ('that it', 4), ('of that', 4), ('the union', 4), ('for the', 3)]","[('people america', 4), ('induced people', 3), ('general purposes', 2), ('federal government', 2), ('national government', 2), ('america depended', 2), ('distinct confederacies', 2), ('people large', 2), ('preserve perpetuate', 2), ('late convention', 2), ('great object', 2), ('plan convention', 2), ('2 concerning', 1), ('concerning dangers', 1), ('dangers foreign', 1), ('foreign force', 1), ('force influence', 1), ('influence independent', 1), ('independent journal', 1), ('journal wednesday', 1)]",58,"[('NOUN', 329), ('ADP', 221), ('VERB', 190), ('PUNCT', 189), ('DET', 173), ('ADJ', 171), ('SPACE', 156), ('PRON', 151), ('AUX', 111), ('CCONJ', 106), ('ADV', 96), ('SCONJ', 60), ('PART', 43), ('PROPN', 23), ('NUM', 15), ('INTJ', 2), ('X', 1)]",0.03083466241360978,0.3423710792131845,Jay
1639,"[(',', 119), ('the', 95), ('of', 62), ('and', 61), ('to', 56), ('.', 38), ('or', 32), ('be', 31), ('in', 25), ('as', 24), ('will', 24), ('it', 21), ('that', 20), ('by', 18), ('from', 16), ('government', 15), ('not', 14), ('national', 14), ('a', 13), ('more', 13)]","[('the', 95), ('of', 62), ('and', 61), ('to', 56), ('or', 32), ('be', 31), ('in', 25), ('as', 24), ('will', 24), ('it', 21), ('that', 20), ('by', 18), ('from', 16), ('government', 15), ('not', 14), ('national', 14), ('a', 13), ('more', 13), ('for', 12), ('their', 11)]","[('government', 15), ('national', 14), ('states', 11), ('people', 8), ('state', 8), ('causes', 8), ('respect', 7), ('war', 7), ('nations', 7), ('america', 6), ('influence', 5), ('great', 5), ('peace', 5), ('treaties', 5), ('dangers', 4), ('opinion', 4), ('united', 4), ('given', 4), ('direct', 4), ('laws', 4)]","[(', and', 19), ('of the', 14), ('national government', 12), ('government ,', 10), ('. the', 10), (', or', 10), (', as', 9), ('will be', 9), ('to the', 8), ('the people', 7), (', the', 7), ('the national', 7), (', will', 7), ('as well', 6), ('causes of', 6), ('states ,', 6), ('for the', 5), ('it is', 5), ('well as', 5), (', it', 5)]","[('of the', 14), ('national government', 12), ('will be', 9), ('to the', 8), ('the people', 7), ('the national', 7), ('as well', 6), ('causes of', 6), ('for the', 5), ('it is', 5), ('well as', 5), ('just causes', 5), ('of war', 5), ('be more', 5), ('to be', 4), ('of peace', 4), ('in the', 4), ('it will', 4), ('will not', 4), ('by the', 4)]","[('national government', 12), ('causes war', 5), ('laws nations', 3), ('governing party', 3), ('dangers foreign', 2), ('people state', 2), ('federal government', 2), ('safety people', 2), ('efficient national', 2), ('government affords', 2), ('united america', 2), ('direct violence', 2), ('spain britain', 2), ('individual states', 2), ('states consequently', 2), ('treaties laws', 2), ('good faith', 2), ('faith justice', 2), ('bordering states', 2), ('3 subject', 1)]",48,"[('NOUN', 279), ('ADP', 202), ('PUNCT', 170), ('ADJ', 160), ('VERB', 155), ('SPACE', 141), ('DET', 126), ('CCONJ', 109), ('AUX', 101), ('PRON', 100), ('ADV', 92), ('PART', 48), ('PROPN', 37), ('SCONJ', 37), ('NUM', 23)]",0.02928615009151922,0.3136058572300183,Jay
1864,"[(',', 127), ('and', 91), ('the', 88), ('of', 72), ('to', 51), ('.', 33), ('it', 28), ('be', 26), ('or', 24), ('in', 24), ('as', 20), ('their', 19), ('our', 18), ('would', 17), ('that', 17), ('not', 17), ('they', 17), ('a', 16), ('government', 16), ('will', 15)]","[('and', 91), ('the', 88), ('of', 72), ('to', 51), ('it', 28), ('be', 26), ('or', 24), ('in', 24), ('as', 20), ('their', 19), ('our', 18), ('would', 17), ('that', 17), ('not', 17), ('they', 17), ('a', 16), ('government', 16), ('will', 15), ('by', 14), ('for', 13)]","[('government', 16), ('nations', 9), ('people', 8), ('war', 8), ('national', 7), ('britain', 7), ('independent', 6), ('state', 6), ('situation', 6), ('navigation', 6), ('shall', 6), ('militia', 6), ('safety', 5), ('america', 5), ('foreign', 4), ('union', 4), ('causes', 4), ('governments', 4), ('confederacies', 4), ('trade', 4)]","[(', and', 33), ('of the', 20), ('it is', 7), ('to the', 6), ('national government', 6), ('the whole', 6), ('the people', 5), ('. but', 5), ('. it', 5), ('in the', 5), ('navigation and', 5), ('and the', 5), (', it', 5), ('government ,', 5), (', our', 5), ('the safety', 4), ('safety of', 4), ('may be', 4), ('; and', 4), ('be more', 4)]","[('of the', 20), ('it is', 7), ('to the', 6), ('national government', 6), ('the whole', 6), ('the people', 5), ('in the', 5), ('navigation and', 5), ('and the', 5), ('the safety', 4), ('safety of', 4), ('may be', 4), ('be more', 4), ('not be', 4), ('of them', 4), ('of our', 4), ('we are', 4), ('on the', 4), ('the government', 4), ('it can', 4)]","[('national government', 6), ('navigation fleetlet', 4), ('safety people', 3), ('causes war', 3), ('militia obeyed', 3), ('obeyed government', 3), ('dangers foreign', 2), ('foreign force', 2), ('government state', 2), ('state governments', 2), ('people america', 2), ('war nations', 2), ('inducements war', 2), ('carrying trade', 2), ('divided thirteen', 2), ('4 subject', 1), ('subject continued', 1), ('continued concerning', 1), ('concerning dangers', 1), ('force influence', 1)]",48,"[('NOUN', 320), ('ADP', 215), ('VERB', 194), ('PUNCT', 194), ('PRON', 174), ('SPACE', 150), ('DET', 129), ('CCONJ', 127), ('ADJ', 126), ('AUX', 123), ('ADV', 72), ('SCONJ', 62), ('PROPN', 51), ('PART', 45), ('NUM', 28), ('X', 3), ('INTJ', 1)]",0.02575107296137339,0.3218884120171674,Jay
1521,"[(',', 88), ('and', 73), ('the', 68), ('of', 53), ('to', 45), ('would', 37), ('.', 36), ('be', 31), ('in', 28), ('that', 23), ('it', 21), ('from', 12), ('with', 11), ('their', 11), ('more', 11), ('them', 11), ('not', 11), ('they', 11), ('nations', 11), ('foreign', 10)]","[('and', 73), ('the', 68), ('of', 53), ('to', 45), ('would', 37), ('be', 31), ('in', 28), ('that', 23), ('it', 21), ('from', 12), ('with', 11), ('their', 11), ('more', 11), ('them', 11), ('not', 11), ('they', 11), ('nations', 11), ('foreign', 10), ('which', 10), ('one', 10)]","[('nations', 11), ('foreign', 10), ('different', 10), ('confederacies', 8), ('union', 7), ('secure', 6), ('strength', 5), ('america', 5), ('interests', 5), ('neighbors', 5), ('independent', 4), ('jealousies', 4), ('policy', 4), ('happen', 4), ('dangers', 3), ('people', 3), ('importance', 3), ('affection', 3), ('interest', 3), ('enemies', 3)]","[(', and', 22), ('would be', 8), ('in the', 7), ('the same', 6), ('of the', 6), (', that', 5), ('that the', 5), ('nations ,', 5), ('they would', 5), ('to the', 4), ('be the', 4), ('strength ,', 4), ('; and', 4), ('to secure', 4), ('that they', 4), (', would', 4), ('would not', 4), ('the people', 3), ('people of', 3), ('on the', 3)]","[('would be', 8), ('in the', 7), ('the same', 6), ('of the', 6), ('that the', 5), ('they would', 5), ('to the', 4), ('be the', 4), ('to secure', 4), ('that they', 4), ('would not', 4), ('the people', 3), ('people of', 3), ('on the', 3), ('will be', 3), ('and by', 3), ('affection and', 3), ('strength and', 3), ('can not', 3), ('they were', 3)]","[('joined affection', 2), ('affection free', 2), ('tend secure', 2), ('different interests', 2), ('local circumstances', 2), ('proposed confederacies', 2), ('southern parts', 2), ('foreign nations', 2), ('5 subject', 1), ('subject continued', 1), ('continued concerning', 1), ('concerning dangers', 1), ('dangers foreign', 1), ('foreign force', 1), ('force influence', 1), ('influence independent', 1), ('independent journal', 1), ('journal saturday', 1), ('saturday november', 1), ('november 10', 1)]",52,"[('NOUN', 261), ('ADP', 171), ('PUNCT', 149), ('VERB', 140), ('ADJ', 133), ('SPACE', 131), ('PRON', 128), ('AUX', 120), ('DET', 115), ('CCONJ', 93), ('ADV', 78), ('PART', 43), ('SCONJ', 36), ('PROPN', 31), ('NUM', 20), ('X', 2), ('INTJ', 1)]",0.03418803418803419,0.3510848126232742,Jay
2547,"[('the', 192), ('of', 168), (',', 166), ('and', 81), ('.', 76), ('to', 61), ('in', 60), ('a', 52), ('have', 27), ('which', 24), ('that', 24), ('or', 19), ('as', 19), ('be', 18), ('are', 18), ('from', 17), ('not', 17), ('with', 15), ('their', 15), ('?', 15)]","[('the', 191), ('of', 168), ('and', 81), ('to', 61), ('in', 60), ('a', 52), ('have', 27), ('which', 24), ('that', 24), ('or', 19), ('as', 19), ('be', 18), ('are', 18), ('from', 17), ('not', 17), ('with', 15), ('their', 15), ('for', 14), ('been', 13), ('they', 13)]","[('war', 12), ('nations', 11), ('states', 8), ('wars', 8), ('state', 6), ('general', 6), ('commerce', 6), ('commercial', 6), ('instances', 5), ('men', 5), ('interest', 5), ('spirit', 5), ('people', 4), ('human', 4), ('power', 4), ('desire', 4), ('national', 4), ('contrary', 4), ('policy', 4), ('europe', 4)]","[('of the', 38), (', and', 26), ('in the', 18), ('. the', 13), ('of a', 12), ('to the', 11), (', in', 9), ('between the', 6), ('for the', 6), ('have been', 6), ('from the', 6), (', the', 6), ('with the', 6), ('to be', 6), ('by the', 6), ('and the', 6), ('of this', 5), ('in a', 5), (', or', 5), ('the same', 5)]","[('of the', 38), ('in the', 18), ('of a', 12), ('to the', 11), ('between the', 6), ('for the', 6), ('have been', 6), ('from the', 6), ('with the', 6), ('to be', 6), ('by the', 6), ('and the', 6), ('of this', 5), ('in a', 5), ('the same', 5), ('the states', 4), ('the state', 4), ('state of', 4), ('each other', 4), ('and to', 4)]","[('dissensions states', 2), ('power desire', 2), ('emperor charles', 2), ('charles v', 2), ('spirit commerce', 2), ('true interest', 2), ('carthage commercial', 2), ('madame de', 2), ('6 concerning', 1), ('concerning dangers', 1), ('dangers dissensions', 1), ('states independent', 1), ('independent journal', 1), ('journal wednesday', 1), ('wednesday november', 1), ('november 14', 1), ('14 1787', 1), ('1787 people', 1), ('people state', 1), ('state new', 1)]",110,"[('NOUN', 501), ('ADP', 374), ('PUNCT', 296), ('DET', 283), ('SPACE', 214), ('ADJ', 208), ('VERB', 191), ('PRON', 151), ('AUX', 130), ('CCONJ', 109), ('PROPN', 108), ('ADV', 86), ('PART', 55), ('SCONJ', 29), ('X', 18), ('NUM', 8)]",0.043188064389477816,0.34668237141735375,Hamilton
2607,"[('the', 211), (',', 160), ('of', 158), ('to', 82), ('.', 81), ('would', 51), ('and', 51), ('a', 48), ('be', 47), ('in', 43), ('states', 32), ('by', 28), ('that', 27), ('which', 24), ('have', 23), ('this', 22), ('as', 19), ('their', 18), ('it', 17), ('we', 16)]","[('the', 210), ('of', 158), ('to', 82), ('would', 51), ('and', 51), ('a', 48), ('be', 47), ('in', 43), ('states', 32), ('by', 28), ('that', 27), ('which', 24), ('have', 23), ('this', 22), ('as', 19), ('their', 18), ('it', 17), ('we', 16), ('for', 15), ('an', 15)]","[('states', 32), ('new', 11), ('state', 8), ('connecticut', 7), ('citizens', 7), ('york', 6), ('rule', 6), ('different', 5), ('territory', 5), ('union', 5), ('confederacy', 5), ('subject', 4), ('nations', 4), ('causes', 4), ('differences', 4), ('rights', 4), ('lands', 4), ('great', 4), ('peace', 4), ('common', 4)]","[('of the', 45), ('. the', 19), ('would be', 18), ('in the', 17), (', and', 17), ('to the', 14), ('the states', 13), (', would', 12), ('and the', 10), ('; and', 10), ('by the', 10), ('of a', 9), (', if', 8), ('on the', 8), (', the', 7), ('new york', 6), ('it is', 6), (', to', 6), ('them ,', 6), ('part of', 6)]","[('of the', 45), ('would be', 18), ('in the', 17), ('to the', 14), ('the states', 13), ('and the', 10), ('by the', 10), ('of a', 9), ('on the', 8), ('new york', 6), ('it is', 6), ('part of', 6), ('to be', 6), ('for the', 5), ('we have', 5), ('the union', 5), ('that the', 5), ('of this', 5), ('from the', 5), ('of their', 5)]","[('new york', 6), ('new jersey', 4), ('western territory', 3), ('connecticut new', 3), ('united states', 2), ('rule apportionment', 2), ('different states', 2), ('states interested', 2), ('rhode island', 2), ('public debt', 2), ('states confederacies', 2), ('7 subject', 1), ('subject continued', 1), ('continued concerning', 1), ('concerning dangers', 1), ('dangers dissensions', 1), ('dissensions states', 1), ('states independent', 1), ('independent journal', 1), ('journal thursday', 1)]",104,"[('NOUN', 508), ('ADP', 371), ('DET', 313), ('PUNCT', 272), ('VERB', 221), ('SPACE', 213), ('ADJ', 200), ('AUX', 188), ('PRON', 185), ('ADV', 80), ('CCONJ', 71), ('PROPN', 70), ('PART', 59), ('SCONJ', 51), ('NUM', 10), ('X', 8)]",0.039892596854622174,0.3191407748369774,Hamilton
2341,"[(',', 166), ('the', 161), ('of', 136), ('to', 80), ('.', 73), ('and', 54), ('a', 45), ('in', 42), ('be', 35), ('would', 27), ('which', 26), ('is', 21), ('it', 20), ('this', 19), ('that', 18), ('have', 18), ('or', 17), (';', 17), ('as', 16), ('their', 16)]","[('the', 161), ('of', 136), ('to', 80), ('and', 54), ('a', 45), ('in', 42), ('be', 35), ('would', 27), ('which', 26), ('is', 21), ('it', 20), ('this', 19), ('that', 18), ('have', 18), ('or', 17), ('as', 16), ('their', 16), ('been', 16), ('not', 14), ('are', 14)]","[('military', 12), ('states', 11), ('war', 11), ('armies', 10), ('people', 9), ('state', 7), ('country', 7), ('situation', 6), ('establishments', 6), ('time', 6), ('natural', 6), ('great', 6), ('nations', 5), ('long', 5), ('disciplined', 5), ('strength', 5), ('army', 5), ('power', 5), ('consequences', 4), ('subject', 4)]","[('of the', 30), ('. the', 25), (', and', 18), (', in', 13), ('in the', 11), ('to the', 10), (', which', 10), (', or', 8), ('to be', 8), ('in a', 8), ('the people', 7), ('would be', 7), ('which have', 7), (', to', 7), (', the', 7), ('have been', 7), (', would', 6), ('war ,', 6), ('military establishments', 6), ('on the', 5)]","[('of the', 30), ('in the', 11), ('to the', 10), ('to be', 8), ('in a', 8), ('the people', 7), ('would be', 7), ('which have', 7), ('have been', 7), ('military establishments', 6), ('on the', 5), ('of war', 5), ('of a', 5), ('with the', 5), ('it is', 5), ('states or', 5), ('to this', 5), ('will be', 5), ('has been', 5), ('from the', 4)]","[('military establishments', 6), ('standing armies', 4), ('disciplined armies', 3), ('states confederacies', 3), ('natural strength', 3), ('new york', 2), ('disciplined troops', 2), ('states states', 2), ('armies numerous', 2), ('military power', 2), ('8 consequences', 1), ('consequences hostilities', 1), ('hostilities states', 1), ('states new', 1), ('york packet', 1), ('packet tuesday', 1), ('tuesday november', 1), ('november 20', 1), ('20 1787', 1), ('1787 people', 1)]",90,"[('NOUN', 457), ('ADP', 320), ('PUNCT', 260), ('DET', 255), ('ADJ', 231), ('VERB', 192), ('SPACE', 191), ('AUX', 176), ('PRON', 150), ('CCONJ', 91), ('ADV', 90), ('PART', 56), ('SCONJ', 27), ('PROPN', 23), ('NUM', 12), ('X', 1)]",0.03844510892780863,0.3297736010252029,Hamilton
2259,"[('the', 172), ('of', 155), (',', 135), ('to', 71), ('.', 67), ('a', 48), ('and', 46), ('in', 37), ('be', 26), ('which', 25), ('that', 25), ('it', 24), ('have', 24), ('as', 20), ('they', 20), ('""', 20), ('government', 17), ('is', 16), ('been', 15), ('this', 15)]","[('the', 172), ('of', 155), ('to', 71), ('a', 48), ('and', 46), ('in', 37), ('be', 26), ('which', 25), ('that', 25), ('it', 24), ('have', 24), ('as', 20), ('they', 20), ('government', 17), ('is', 16), ('been', 15), ('this', 15), ('with', 14), ('are', 14), ('their', 14)]","[('government', 17), ('states', 12), ('confederate', 8), ('union', 7), ('state', 7), ('new', 7), ('principle', 6), ('confederacy', 6), ('internal', 6), ('republics', 5), ('republican', 5), ('great', 5), ('means', 5), ('far', 5), ('members', 5), ('republic', 5), ('authority', 5), ('faction', 4), ('insurrection', 4), ('liberty', 4)]","[('of the', 40), ('to the', 15), ('. the', 13), (', and', 12), ('of a', 12), ('in the', 11), ('. ""', 9), (', it', 8), ('it is', 7), (', which', 7), ('to have', 7), ('of this', 7), ('. it', 6), ('to be', 6), ('have been', 6), ('on the', 6), (', in', 6), (', by', 6), ('has been', 6), ('government .', 6)]","[('of the', 40), ('to the', 15), ('of a', 12), ('in the', 11), ('it is', 7), ('to have', 7), ('of this', 7), ('to be', 6), ('have been', 6), ('on the', 6), ('has been', 6), ('the union', 5), ('will be', 5), ('at the', 5), ('which they', 5), ('that the', 5), ('with the', 5), ('they are', 5), ('as a', 4), ('faction and', 4)]","[('republican government', 4), ('confederate republic', 4), ('domestic faction', 3), ('faction insurrection', 3), ('external force', 3), ('new york', 2), ('single state', 2), ('smaller states', 2), ('states great', 2), ('confederate government', 2), ('assemblage societies', 2), ('confederate states', 2), ('internal administration', 2), ('association states', 2), ('common council', 2), ('9 union', 1), ('union safeguard', 1), ('safeguard domestic', 1), ('insurrection independent', 1), ('independent journal', 1)]",86,"[('NOUN', 429), ('ADP', 318), ('DET', 260), ('PUNCT', 242), ('ADJ', 190), ('SPACE', 187), ('VERB', 187), ('PRON', 168), ('AUX', 157), ('CCONJ', 71), ('ADV', 69), ('PART', 57), ('PROPN', 53), ('SCONJ', 39), ('NUM', 18), ('X', 1)]",0.038069942452412575,0.33421868083222667,Hamilton
3387,"[('the', 264), (',', 223), ('of', 157), ('and', 122), ('to', 100), ('.', 81), ('a', 79), ('in', 63), ('be', 61), ('it', 47), ('is', 41), ('by', 39), ('which', 39), (';', 32), ('that', 31), ('will', 30), ('are', 27), ('other', 22), ('or', 22), ('as', 21)]","[('the', 264), ('of', 157), ('and', 122), ('to', 100), ('a', 79), ('in', 63), ('be', 61), ('it', 47), ('is', 41), ('by', 39), ('which', 39), ('that', 31), ('will', 30), ('are', 27), ('other', 22), ('or', 22), ('as', 21), ('their', 21), ('for', 18), ('on', 18)]","[('faction', 17), ('number', 15), ('public', 14), ('interests', 14), ('government', 13), ('greater', 13), ('citizens', 12), ('parties', 12), ('rights', 12), ('majority', 12), ('interest', 12), ('different', 12), ('union', 9), ('good', 8), ('party', 8), ('property', 8), ('small', 8), ('republic', 7), ('liberty', 6), ('found', 6)]","[('of the', 34), (', and', 32), ('in the', 21), ('to the', 18), (', the', 18), ('. the', 17), ('will be', 17), ('and the', 15), ('the same', 13), ('; and', 12), (', in', 11), (', by', 11), ('the public', 10), ('on the', 10), ('to be', 9), (', that', 9), ('the rights', 9), ('rights of', 9), ('number of', 9), ('the most', 9)]","[('of the', 34), ('in the', 21), ('to the', 18), ('will be', 17), ('and the', 15), ('the same', 13), ('the public', 10), ('on the', 10), ('to be', 9), ('the rights', 9), ('rights of', 9), ('number of', 9), ('the most', 9), ('the union', 8), ('by the', 8), ('the other', 8), ('must be', 8), ('of citizens', 8), ('a majority', 8), ('of faction', 7)]","[('public good', 6), ('number citizens', 6), ('passion interest', 5), ('small republic', 4), ('rights citizens', 3), ('controlling effects', 3), ('causes faction', 3), ('opinions passions', 3), ('greater number', 3), ('large small', 3), ('parties interests', 3), ('variety parties', 3), ('popular governments', 2), ('rules justice', 2), ('private rights', 2), ('aggregate interests', 2), ('mischiefs faction', 2), ('removing causes', 2), ('liberty essential', 2), ('different opinions', 2)]",112,"[('NOUN', 661), ('ADP', 427), ('DET', 376), ('PUNCT', 353), ('ADJ', 341), ('VERB', 286), ('SPACE', 273), ('PRON', 245), ('AUX', 234), ('CCONJ', 163), ('ADV', 128), ('PART', 74), ('SCONJ', 57), ('PROPN', 20), ('NUM', 18), ('X', 3), ('INTJ', 1)]",0.033067611455565395,0.2556834957189253,Madison
